COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
ÁNCASH,INGENIERÍA DE TELECOMUNICACIONES,FEMENINO,NO,4,20
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,5,21
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA AMBIENTAL,FEMENINO,NO,6,22
LIMA,FÍSICA,MASCULINO,SI,1,17
AYACUCHO,ARQUITECTURA,FEMENINO,NO,2,18
LIMA,INGENIERÍA NAVAL,MASCULINO,NO,3,19
LIMA,INGENIERÍA MECÁNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECATRÓNICA,FEMENINO,NO,5,21
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
ICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,11,27
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
CAJAMARCA,ARQUITECTURA,FEMENINO,NO,4,21
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,18
ICA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,FEMENINO,SI,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,5,22
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
CAJAMARCA,INGENIERÍA CIVIL,MASCULINO,SI,2,18
LIMA,INGENIERÍA DE SOFTWARE,FEMENINO,NO,3,19
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,20
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,5,21
CAJAMARCA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,18
JUNÍN,INGENIERÍA INDUSTRIAL,FEMENINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
HUÁNUCO,INGENIERÍA CIVIL,MASCULINO,NO,1,18
CAJAMARCA,ARQUITECTURA,FEMENINO,NO,1,18
CALLAO,INGENIERÍA CIVIL,FEMENINO,NO,3,20
CALLAO,INGENIERÍA CIVIL,MASCULINO,NO,2,17
LIMA,ARQUITECTURA,MASCULINO,NO,1,17
CAJAMARCA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
JUNÍN,INGENIERÍA NAVAL,MASCULINO,NO,5,22
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,4,20
HUANCAVELICA,ARQUITECTURA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,21
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,1,17
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,5,22
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,SI,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,17,34
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,4,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,20
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,7,24
LIMA,ARQUITECTURA,FEMENINO,NO,2,19
LIMA,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
ÁNCASH,INGENIERÍA MECATRÓNICA,MASCULINO,NO,6,22
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,3,19
LIMA,INGENIERÍA ELÉCTRICA,MASCULINO,NO,3,19
ICA,ARQUITECTURA,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,ARQUITECTURA,MASCULINO,NO,2,18
